0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:34:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /jspHomePage/boardListServlet.do HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /jspHomePage/home/css/boardPage.css HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /jspHomePage/home/js/headerNav.js HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:05 +0900] "GET /jspHomePage/boardListSelect.do?no=18 HTTP/1.1" 500 1585
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /jspHomePage/boardListServlet.do HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /jspHomePage/home/css/boardPage.css HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /jspHomePage/home/js/headerNav.js HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:37 +0900] "GET /jspHomePage/boardListSelect.do?no=18 HTTP/1.1" 200 17401
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:36:37 +0900] "GET /jspHomePage/home/js/boardContentPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /jspHomePage/boardListServlet.do HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /jspHomePage/home/css/common.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /jspHomePage/home/css/carouselSection.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /jspHomePage/home/js/headerNav.js HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /jspHomePage/home/css/boardPage.css HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /jspHomePage/home/js/common.js HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /jspHomePage/home/css/headerNav.css HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:30 +0900] "GET /jspHomePage/BoardFindSelect.do?findValue=title&findText=112 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:30 +0900] "GET /jspHomePage/mainPageAlertServlet.do?status=8 HTTP/1.1" 200 6327
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:47:30 +0900] "GET /jspHomePage/media/slide-2.jpg HTTP/1.1" 404 844
